name_of_satellite_alternate_names, country_org_of_un_registry, country_of_operator_owner, operator_owner, users, purpose, detailed_purpose, class_of_orbit, type_of_orbit, longitude_of_geo_degrees, perigee_km, apogee_km, eccentricity, inclination_degrees, period_minutes, launch_mass_kg, dry_mass_kg, power_watts, date_of_launch, expected_lifetime, contractor, country_of_contractor, launch_site, launch_vehicle, cospar_number, norad_number, comments, column_ab, source_used_for_orbital_data, source, source_2, source_3, source_4, source_5, source_6, launch_year, launch_of_the_year, piece_of_the_launch, multiple_name_flag, payload_flag, operational_status_code, satellite_name, source_or_ownership, launch_date, launch_site, decay_date, orbital_period, inclination, apogee_altitude, perigee_altitude, radar_cross_section, orbital_status_code
THEMIS D (Time History of Events and Macroscale Interactions during Substorms) , USA, Multinational, NASA/University of California. Berkeley (in partnership with Germany. France. Austria. Canada), Government/Civil, Space Science, null, Elliptical, null, 0, 467, 87260, 0.8638956075129147, 15.7, 1867.91, 126, 77, 40, 2007-02-17, 2 yrs., Swales Aerospace, USA, Cape Canaveral, Delta 2, 2007-004D, 30797, Five phase mission to study earth's auroras; mission extended to 2012. Themis B and C retasked as Artemis mission to L1 and L2., null, SC - ASCR, http://www.swales.com/spacecraft/themis.html, http://ds9.ssl.berkeley.edu/themis/no_flash.html, http://earthobservatory.nasa.gov/Newsroom/NasaNews/2007/2007021724505.html, http://news.discovery.com/space/solar-spacecraft-moon-themis.html, null, null, 2007, 4, D, M, *, +, THEMIS D, US, 2007-01-17, AFETR, null, 7.2, null, 88303, 1080, 0.5012, null
THEMIS E (Time History of Events and Macroscale Interactions during Substorms) , USA, Multinational, NASA/University of California. Berkeley (in partnership with Germany. France. Austria. Canada), Government/Civil, Space Science, null, Elliptical, null, 0, 474, 87526, 0.86412547151082, 15.7, 1875.53, 126, 77, 40, 2007-02-17, 2 yrs., Swales Aerospace, USA, Cape Canaveral, Delta 2, 2007-004E, 30798, Five phase mission to study earth's auroras; mission extended to 2012. Themis B and C retasked as Artemis mission to L1 and L2., null, SC - ASCR, http://www.swales.com/spacecraft/themis.html, http://ds9.ssl.berkeley.edu/themis/no_flash.html, http://earthobservatory.nasa.gov/Newsroom/NasaNews/2007/2007021724505.html, http://www.nasa.gov/mission_pages/themis/mission/index.html, null, null, 2007, 4, E, M, *, +, THEMIS E, US, 2007-01-17, AFETR, null, 6.4, null, 82607, 1278, 0.6325, null
THEOS (Thailand Earth Observation System), Thailand, Thailand, Geo-Informatics and Space Technology Development Agency (GISTDA), Government, Earth Observation, Optical Imaging, LEO, Sun-Synchronous, 0, 824, 826, 0.0001389854065323141, 98.7, 101.4, 750, 670, 840, 2008-10-01, 5 yrs., EADS Astrium, France, Dombarovsky Air Base, Dnepr, 2008-049A, 33396, Panchromatic imager with 2M resolution; applications in cartography. land use. agricultural monitoring. forestry management. coastal zone monitoring and flood risk management., null, www.satellitedebris.net 12/12, http://www.astrium.eads.net/en/families/satellite-navigation-sensing-gps-meteorology/remote-sensing/theos, null, http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=article&sid=1174&mode=thread&order=0, http://www.lib.cas.cz/space.40/2008/I065B.HTM, null, null, 2008, 49, A, null, *, +, THEOS, THAI, 2008-01-01, DLS, null, 98.7, null, 826, 824, 2.8441, null
Thor-3 , Norway, Norway, Telenor Satellite Broadcasting, Commercial, Communications, null, GEO, null, -4, 35777, 35795, 0.0002134927412467976, 0.07, 1436.07, 1400, 646, 1400, 1998-06-10, 12 yrs., Boeing Satellite Systems, USA, Cape Canaveral, Delta 2, 1998-035A, 25358, 14 Ku-band; Nordic region. central and eastern Europe., null, JM/12_08, http://perso.wanadoo.fr/eurospace/espdatabase/index.html, http://nssdc.gsfc.nasa.gov/spacewarn/spx536.html, http://www.thor-satellites.com, http://www.spacenews.com/satellite_telecom/100628-telenor-repositions-thor.html, null, null, 1998, 35, A, null, *, +, THOR III, NOR, 1998-01-10, AFETR, null, 6.6, null, 35798, 35774, 22.4645, null
Thor-5 (Thor 2R), Norway, Norway, Telenor Satellite Broadcasting, Commercial, Communications, null, GEO, null, -0.72, 35773, 35798, 0.00029652121312758714, 0.01, 1436.1, 2024, null, null, 2008-02-11, 15 yrs., Orbital Sciences Corp., USA, Baikonur Cosmodrome, Proton M, 2008-006A, 32487, 25 Ku-band transponders; direct-to-home and Internet to Scandinavia. eastern Europe. Middle East., null, JM/12_08, http://www.lib.cas.cz/space.40/2008/006A.HTM, http://nssdc.gsfc.nasa/gov/spacewarn/spx652.html, http://www.telenorsbc.com/templates/Page.aspx?id=601, null, null, null, 2008, 6, A, null, *, +, THOR 5, NOR, 2008-01-11, TYMSC, null, 0, null, 35800, 35772, 31.6228, null
Thor-6, Norway, Norway, Telenor Satellite Broadcasting, Commercial, Communications, null, GEO, null, -1, 35779, 35794, 0.0001779085075848327, 0.02, 1436.1, 3050, null, 5900, 2009-10-29, 15 yrs., Thales Alenia Space, France/Italy, Guiana Space Center, Ariane 5, 2009-058B, 36033, 36 Ku-band transponders; Central and eastern Europe and Nordic region., null, JM/12_09, http://www.telenorsbc.com/templates/Page.aspx?id=649, http://nssdc.gsfc.nasa/gov/spacewarn/spx672.html, null, null, null, null, 2009, 58, B, null, *, +, THOR 6, NOR, 2009-01-29, FRGUI, null, 0, null, 35797, 35775, 7.0794, null
Thor-7, Norway, Norway, Telenor Satellite Broadcasting, Commercial, Communications, null, GEO, null, -1, 35727, 35741, 0.0001662549876496295, 0, 1433.4, 4600, null, null, 2015-04-26, 15 yrs., Space Systems/Loral, USA, Guiana Space Center, Ariane 5, 2015-022A, 40613, 21 Ku-band transponders and the equivalent of 25 Ka-band transponders. Oslo-based Telenor is using the satellite to break into the market for Ka-band broadband maritime communications. with the focus on the North Atlantic. - See more at: http://spacenews.com/ariane-5-launches-sicral-2-and-thor-7-telecommunications-satellites/#sthash.DdDKvkj6.dpuf, null, JM/8_15, http://www.telenorsat.com/satellites-teleports/satellite-fleet/thor-7-ku-band/, http://spacenews.com/ariane-5-launches-sicral-2-and-thor-7-telecommunications-satellites/, null, null, null, null, 2015, 22, A, null, *, +, THOR 7, NOR, 2015-01-26, FRGUI, null, 0, null, 35798, 35775, 70.0714, null
Thuraya 2 , United Arab Emirates, United Arab Emirates, Thuraya Satellite Communications, Commercial, Communications, null, GEO, null, 44.13, 35764, 35807, 0.0005100164865794499, 2.99, 1436.07, 5250, 3200, 11000, 2003-06-10, 12 yrs., Hughes Space and Communications Group, USA, Sea Launch (Odyssey), Zenit 3SL, 2003-026A, 27825, Capacity for 13.750 simultaneous calls; voice. fax. data transmissions from/to mobile telephones; Middle East. North and Central Africa. Europe. Central Asia and the Indian subcontinent., null, JM/12_08, http://www.thuraya.com/corporate/newsroom/2003/thuraya2-launched.htm, http://nssdc.gsfc.nasa.gov/spacewarn/spx596.html, http://www.thuraya.com/tech/, http://perso.wanadoo.fr/eurospace/espdatabase/index.html, null, null, 2003, 26, A, null, *, +, THURAYA-2, UAE, 2003-01-10, SEAL, null, 5.5, null, 35807, 35767, 10.0237, null
Thuraya 3, United Arab Emirates, United Arab Emirates, Thuraya Satellite Communications, Commercial, Communications, null, GEO, null, 98.6, 35766, 35807, 0.0004862832540652094, 5.84, 1436.1, 5180, null, null, 2008-01-15, 12 yrs., Boeing Satellite Systems, USA, Sea Launch (Odyssey), Zenit 3SL, 2008-001A, 32404, Mobile phone communication in eastern Asia. Middle East. Australia., null, JM/12_08, http://nssdc.gsfc.nasa.gov/spacewarn/spx651.html, http://www.thuraya.com/content/mission-profile-4.html, null, null, null, null, 2008, 1, A, null, *, +, THURAYA-3, UAE, 2008-01-15, SEAL, null, 3.8, null, 35807, 35765, 7.9621, null
Tiangong-1 (TG-1), China, China,    Beijing Aerospace Flight Control Center, Government, Technology Development, null, LEO, Non-Polar Inclined, 0, 360, 361, 0.00007428868583314762, 42.8, 91.8, 8506, null, null, 2011-09-29, 2 yrs., Chinese Academy of Space Technology (CAST), China, Jiuquan Satellite Launch Center, Long March 2F, 2011-053A, 37820, First of the three experimental single-module orbital stations (Space Laboratory) to be launched by China between 2011 and 2016 to develop and test a range of techniques required for building a permanently-manned space station., null, www.satellitedebris.net 12/12, http://www.sinodefence.com/spacelab/tiangong1.asp, http://www.space.com/13120-china-tiangong-1-space-laboratory-facts-figures.html, http://www.lib.cas.cz/space.40//2011/053A.HTM, null, null, null, 2011, 53, A, null, *, D, TIANGONG 1, PRC, 2011-01-29, JSC, 2018-01-02, 42.7, null, 152, 145, 21.118, null
BeeSat-3 (Berlin Experimental and Educational Satellite 3), Germany, Germany, Institut für Luft- und Raumfahrt, Civil, Technology Development, null, LEO, Non-Polar Inclined, 0, 554, 581, 0.0019459459459459458, 64.8, 96.01, 1, null, null, 2013-04-19, 1 yr., Technische Universität Berlin, Germany, Baikonur Cosmodrome, Soyuz 2.1a, 2013-015E, 39134, Will test high-speed data links (up to 1MB/s)., null, ZARYA, http://www.zarya.info/Diaries/Launches/Launches.php?year=2013, null, null, null, null, null, 2013, 15, E, null, *, +, SOMP, GER, 2013-01-19, TYMSC, null, 64.9, null, 523, 488, 0.052, null
Tianhui 1-01, China, China, China Aerospace Science and Technology Corporation (CASTC), Government, Earth Observation, Optical Imaging, LEO, Sun-Synchronous, 0, 488, 504, 0.0011651616661811825, 97.4, 94.5, 2500, null, null, 2010-08-24, null, DFH Satellite Co. Ltd., China, Jiuquan Satellite Launch Center, Long March 2D, 2010-040A, 36985, Mapping  and land resource sruveys to promote economic development; 3-D survey camera. ground resolution of 5m; multi-spectrum at 10m., null, www.satellitedebris.net 12/12, http://spaceflightnow.com/news/n1008/24longmarch/, http://nssdc.gsfc.nasa.gov/spacewarn/spx682.html, http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2010/040A.HTM, null, null, null, 2010, 40, A, null, *, +, TIANHUI 1, PRC, 2010-01-24, JSC, null, 97.7, null, 504, 484, 3.011, null
Tianhui 1-02, China, China, China Aerospace Science and Technology Corporation (CASTC), Government, Earth Observation, Optical Imaging, LEO, Sun-Synchronous, 0, 485, 505, 0.0014566642388929353, 97.4, 94.5, 2500, null, null, 2012-05-06, null, DFH Satellite Co. Ltd., China, Jiuquan Satellite Launch Center, Long March 2D, 2012-020A, 38256, Cartographic imaging satellite capable of stereoscopic Earth photography. equipped with orbit adjustment engine to maintain height against air drag., null, www.satellitedebris.net 12/12, null, null, null, null, null, null, 2012, 20, A, M, *, +, TIANHUI 1-02, PRC, 2012-01-06, JSC, null, 97.4, null, 507, 484, 2.924, null
Tianhui 1-03, NR (12/15), China, China Aerospace Science and Technology Corporation (CASTC), Government, Earth Observation, Optical Imaging, LEO, Sun-Synchronous, 0, 489, 500, 0.000801223687085731, 97.36, 94.5, 2500, null, null, 2015-10-26, null, DFH Satellite Co. Ltd., China, Jiuquan Satellite Launch Center, Long March 2D, 2015-061A, 40988, Cartographic imaging satellite capable of stereoscopic Earth photography. equipped with orbit adjustment engine to maintain height against air drag., null, JM/12_15, http://spaceflightnow.com/2015/10/26/chinese-rocket-deploys-third-tianhui-mapping-satellite/, http://planet4589.org/space/log/satcat.txt, null, null, null, null, 2015, 61, A, null, *, +, TIANHUI 1-03, PRC, 2015-01-26, JSC, null, 97.5, null, 503, 489, 2.684, null
TianLian 1 (TL-1-01. CTDRS), China, China, Chinese Academy of Space Technology (CAST), Government, Communications, null, GEO, null, 77.08, 35769, 35813, 0.0005218092549986955, 0.06, 1436.08, 3750, null, null, 2008-04-25, null, Chinese Academy of Space Technology (CAST), China, Xichang Satellite Launch Center, Long March 3C, 2008-019A, 32779, China's first data relay satellite. will cover Shenzhou missions.Supports near real-time communication., null, JM/12_08, http://www.lib.cas.cz/space.40/2008/I017A.HTM, http://www.sinodefence.com/strategic/spacecraft/tianlian1.asp, http://www.bjreview.com.cn/science/txt/2008-05/12/content_116255.htm, null, null, null, 2008, 19, A, null, *, +, TIANLIAN 1-01, PRC, 2008-01-25, XICLF, null, 3.2, null, 35934, 35640, 15.8866, null
TianLian 2 (TL-1-02. CTDRS), China, China, Chinese Academy of Space Technology (CAST), Government, Communications, null, GEO, null, 176.72, 37778, 37794, 0.00018117583114412537, 1, 1436.1, 2250, null, null, 2011-07-11, null, Chinese Academy of Space Technology (CAST), China, Xichang Satellite Launch Center, Long March 3C, 2011-032A, 37737, Data relay satellite. Will cover Shenzhou missions and China's space station., null, SC - ASCR , http://nssdc.gsfc.nasa.gov/nmc/spacecraftDisplay.do?id=2011-032A, http://www.lib.cas.cz/space.40/2011/032A.HTM, null, null, null, null, 2011, 32, A, null, *, +, TIANLIAN 1-02, PRC, 2011-01-11, XICLF, null, 2.8, null, 35888, 35685, 31.5254, null
TianLian 3 (TL-1-03. CTDRS), China, China, Chinese Academy of Space Technology (CAST), Government, Communications, null, GEO, null, 16.86, 35768, 35802, 0.00040327363302099397, 2.04, 1436, 2200, null, null, 2012-07-25, null, Chinese Academy of Space Technology (CAST), China, Xichang Satellite Launch Center, Long March 3C, 2012-040A, 38730, Data relay satellite. Will cover Shenzhou missions and China's space station., null, JM/8_12, http://www.spaceflight101.com/tianlian-1-3-launch.html, http://www.nasaspaceflight.com/2011/07/china-launches-tian-lian-1b-bolster-manned-space-network/, http://www.zarya.info/Diaries/Launches/Launches.php?year=2012, null, null, null, 2012, 40, A, null, *, +, TIANLIAN 1-03, PRC, 2012-01-25, XICLF, null, 0, null, 35812, 35761, 63.0957, null
Tiantuo-2, NR, China, National University of Defense Technology, Government, Earth Observation/Communications, Automatic Identification System (AIS), LEO, Sun-Synchronous, 0, 477, 493, 0.0011670313639679066, 97.42, 94.31, 67, null, null, 2014-09-08, null, National University of Defense Technology, China, Taiyuan Launch Center, Long March 4B, 2014-053B, 40144, Carries real-time video Earth imaging system and an AIS receive for relaying ship location information., null, ZARYA, http://www.zarya.info/Diaries/Launches/Launches.php?year=2014, http://news.xinhuanet.com/english/china/2014-09/08/c_133627945.htm, null, null, null, null, 2014, 53, B, null, *, +, TIANTUO 2, PRC, 2014-01-08, TAISC, null, 97.3, null, 471, 455, 0.286, null
Tiantuo-3 (Luliang 1), NR (12/15), China, National University of Defense Technology, Government, Technology Development, null, LEO, Sun-Synchronous, 0, 392, 522, 0.009521019481470631, 97.42, 93.73, 20, null, null, 2015-09-19, null, National University of Defense Technology, China, Taiyuan Launch Center, Long March 6, 2015-049A, 40899, null, null, JM/12_15, http://prehled-druzic.blogspot.com/2015/09/2015-049.html, http://forum.nasaspaceflight.com/index.php?topic=36519.120, http://www.planet4589.org/space/log/satcat.txt, null, null, null, 2015, 49, A, null, *, +, OBJECT A, PRC, 2015-01-19, TAISC, null, 97.5, null, 529, 506, 0.256, null
Tianwang 1A (TW-1A. SECM-1. Shangkeda-2), NR (12/15), China, Shanghai Engineering Center for Microsatellites, Civil, Technology Development, null, LEO, Sun-Synchronous, 0, 466, 484, 0.001314828341855369, 97.31, 94.1, 3, null, null, 2015-09-24, null, Nanjing University of Aeronautics and Astronautics/Shanghai Engineering Center for Microsatellites, China, Jiuquan Satellite Launch Center, Long March 11, 2015-051D, 40928, Carries amateur radio platform., null, JM/12_15, http://www.arrl.org/news/more-chinese-amateur-radio-satellites-are-aloft, http://www.planet4589.org/space/log/satcat.txt, null, null, null, null, 2015, 51, D, null, *, +, TIANWANG 1A (TW-1A), PRC, 2015-01-25, JSC, null, 97.2, null, 451, 439, 0.0579, null
Tianwang 1B (TW-1B; NJUST-2), NR (12/15), China, Nanjing University of Aeronautics and Astronautics, Civil, Technology Development, null, LEO, Sun-Synchronous, 0, 466, 485, 0.0013877729895551822, 97.32, 94.1, 3, null, null, 2015-09-24, null, Nanjing University of Aeronautics and Astronautics/Shanghai Engineering Center for Microsatellites, China, Jiuquan Satellite Launch Center, Long March 11, 2015-051C, 40927, Carries amateur radio platform., null, JM/12_15, http://www.arrl.org/news/more-chinese-amateur-radio-satellites-are-aloft, http://www.planet4589.org/space/log/satcat.txt, null, null, null, null, 2015, 51, C, null, *, -, TIANWANG 1B (TW-1B), PRC, 2015-01-25, JSC, null, 97.1, null, 413, 403, 0.063, null
Beidou 2-12 (Compass M3), China, China, Chinese Defense Ministry, Military/Government, Navigation/Global Positioning, null, MEO, Non-Polar Inclined, 0, 21460, 21595, 0.002419571646204857, 55.16, 773.19, 2200, null, null, 2012-04-28, 8 yrs., Space Technology Research Institute (part of CASC), China, Xichang Satellite Launch Center, Long March 3B, 2012-018A, 38250, Part of Beidou constellation., null, ZARYA, http://www.zarya.info/Diaries/Launches/Launches.php?year=2012, http://planet4589.org/space/jsr/back/news.658, null, null, null, null, 2012, 18, A, null, *, +, BEIDOU 12, PRC, 2012-01-29, XICLF, null, 56.6, null, 21588, 21468, 7.1433, null
Tianwang 1C (TW-1C; NJFA-1), NR (12/15), China, Nanjing University of Aeronautics and Astronautics, Civil, Technology Development, null, LEO, Sun-Synchronous, 0, 466, 486, 0.001460706982179375, 97.31, 94.12, 5, null, null, 2015-09-24, null, Nanjing University of Aeronautics and Astronautics/Shanghai Engineering Center for Microsatellites, China, Jiuquan Satellite Launch Center, Long March 11, 2015-051B, 40926, Carries amateur radio platform., null, JM/12_15, http://www.arrl.org/news/more-chinese-amateur-radio-satellites-are-aloft, http://www.planet4589.org/space/log/satcat.txt, null, null, null, null, 2015, 51, B, null, *, +, TIANWANG 1C (TW-1C), PRC, 2015-01-25, JSC, null, 97.1, null, 409, 398, 0.051, null
TIGRISat, Iraq, Iraq, La Sapienza University of Rome, Civil, Earth Observation, Earth Science, LEO, Sun-Synchronous, 0, 611, 698, 0.006192611573777493, 97.98, 97.82, 1, null, null, 2014-06-19, null, La Sapienza University of Rome, Italy, Dombarovsky Air Base, Dnepr, 2014-033AK, 40043, The satellite carries an RGB imaging system using a dust detection algorithm to detect. monitor and study dust storm events over Iraq., null, ZARYA, http://www.spaceflight101.com/dnepr-launch-updates---2014-cluster-launch.html, http://www.zarya.info/Diaries/Launches/Launches.php?year=2014, null, null, null, null, 2014, 33, AK, null, *, +, TIGRISAT, IRAQ, 2014-01-19, DLS, null, 97.8, null, 689, 606, 0.06, null
TIMED (Thermosphere • Ionosphere • Mesosphere • Energetics and Dynamics), USA, USA, NASA/Applied Physics Laboratory. Johns Hopkins, Government/Civil, Space Science, null, LEO, Polar, 0, 612, 613, 0.00007160759040458288, 74.1, 97, 587, null, 406, 2001-12-07, 2 yrs., Applied Physics Laboratory. Johns Hopkins, USA, Vandenberg AFB, Delta 2, 2001-055B, 26998, Study influences of the sun and humans on the least explored and understood region of Earth's atmosphere – the Mesosphere and Lower Thermosphere/Ionosphere (MLTI)., null, www.spacedebris.net 12/12, http://perso.wanadoo.fr/eurospace/espdatabase/index.html, http://nssdc.gsfc.nasa.gov/spacewarn/spx578.html, http://www.timed.jhuapl.edu/mission2/index.html, null, null, null, 2001, 55, B, M, *, +, TIMED, US, 2001-01-07, AFWTR, null, 74.1, null, 606, 602, 2.7177, null
